codigo_contrato,data_venda,codigo_produto,valor_monetario,quantidade,codigo_vendedor,codigo_cliente
2849937,2022-12-31,2367100,202.59,9,590,214262
2849937,2022-12-31,1125900,121.11,4,590,214262
2849933,2022-12-31,1407400,80,2,624,818835
2849932,2022-12-31,1127900,25,20,549,51095
2849921,2022-12-31,2036100,25.3,3,585,154304
2849920,2022-12-31,2681800,11,2,546,274762
2849917,2022-12-31,1550500,29.6,3,643,128883
2849916,2022-12-31,1550500,88.8,1,632,4625
2849916,2022-12-31,745300,3.5,1,632,4625
2849909,2022-12-31,400,31.5,12,590,347993
2849891,2022-12-31,1127900,50,10,585,787560
2849883,2022-12-31,2877600,120,1,498,75149
2849883,2022-12-31,1176400,186,3,498,75149
2849883,2022-12-31,802500,118.65,3,498,75149
2849857,2022-12-31,2681800,4.65,1,321,713955
2849854,2022-12-31,2226900,55.2,3,524,764427
2849848,2022-12-31,2242700,667.5,3,524,764427
2849845,2022-12-31,2236900,749.7,3,528,818818
2849838,2022-12-31,881000,139.5,1,521,611515
2849821,2022-12-31,560200,9.6,4,639,339072
2849809,2022-12-31,2359413,566.4,3,524,115809
2849807,2022-12-31,2992300,325.5,1,639,815189
2850028,2022-12-31,511100,40.9,2,564,818854
2850024,2022-12-31,2337600,28,3,590,56954
2850018,2022-12-31,2968704,50.3,2,528,289721
2850034,2022-12-31,2587000,556,1,590,149237
2850018,2022-12-31,723000,183,12,528,289721
2850002,2022-12-31,2526200,199.9,2,624,632925
2849996,2022-12-31,386700,312,1,564,818848
2850028,2022-12-31,2526200,199.9,1,564,818854
2850028,2022-12-31,2200500,13.4,1,564,818854
2849992,2022-12-31,1537400,29.6,2,524,206192
2849975,2022-12-31,356000,19.8,3,639,626391
2849956,2022-12-31,2719100,594,3,639,666723
2849945,2022-12-31,569100,192.3,4,632,128631
2849942,2022-12-31,1669700,71.9,2,537,820034
2849937,2022-12-31,2877600,249.28,2,590,214262
2849937,2022-12-31,2740000,53.18,3,590,214262
2849297,2022-12-30,2358500,37.3,2,521,130667
2849298,2022-12-30,511100,40.9,4,643,173596
2849302,2022-12-30,2740000,103.92,1,643,86451
2849323,2022-12-30,643200,69,2,543,64619
2849334,2022-12-30,2963100,29,6,521,710425
2849337,2022-12-30,380700,66,1,643,818747
2849339,2022-12-30,2971600,74,8,632,341769
2849339,2022-12-30,3001600,51.15,3,632,341769
2849344,2022-12-30,2681800,22,3,559,420854
2849351,2022-12-30,2447500,1326,3,521,109599
2849056,2022-12-30,396200,50,200,473,683758
2849056,2022-12-30,802500,38.6,2,473,683758
2849056,2022-12-30,1032300,70.7,1,473,683758
2849056,2022-12-30,1212900,78,1,473,683758
2849061,2022-12-30,2541600,391.68,1,564,727291
2849062,2022-12-30,380700,398.7,6,473,315838
2849064,2022-12-30,1930000,32.28,3,420,818706
2849067,2022-12-30,424300,59.4,1,643,626391
2849067,2022-12-30,2995604,43.2,1,643,626391
2849071,2022-12-30,1436100,351,12,537,185280
2849354,2022-12-30,2220500,242,3,644,818716
2849355,2022-12-30,2972800,156,3,643,775968
2849355,2022-12-30,2973700,707.6,3,643,775968
2849367,2022-12-30,1069000,305.34,20,441,760394
2849367,2022-12-30,1125900,58.78,2,441,760394
2849373,2022-12-30,1176400,197.4,4,644,210549
2849395,2022-12-30,2242700,634.14,1,529,341769
2849427,2022-12-30,2941900,861,1,441,818761
2849438,2022-12-30,1176400,65.65,3,632,795121
2849449,2022-12-30,275700,6.36,9,644,707737
2849466,2022-12-30,539700,10.7,1,529,341769
2849476,2022-12-30,375700,58.05,2,608,818773
2849490,2022-12-30,560200,7.2,9,632,818775
2849493,2022-12-30,293000,1.25,10,644,225879
2849498,2022-12-30,146600,14.7,3,564,214655
2849499,2022-12-30,2719100,188,2,498,119174
2849509,2022-12-30,143903,1.75,2,640,238810
2849509,2022-12-30,560200,1.2,2,640,238810
